"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Low Income, Low Access","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","lilatracts_all","TimeFrame","GeoVintage","Source","Location"
"Census Tract","25025000100","MA","25025000100","=""25025000100""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000201","MA","25025000201","=""25025000201""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000202","MA","25025000202","=""25025000202""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000301","MA","25025000301","=""25025000301""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000302","MA","25025000302","=""25025000302""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000401","MA","25025000401","=""25025000401""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000402","MA","25025000402","=""25025000402""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000502","MA","25025000502","=""25025000502""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000503","MA","25025000503","=""25025000503""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000504","MA","25025000504","=""25025000504""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000601","MA","25025000601","=""25025000601""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000602","MA","25025000602","=""25025000602""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000701","MA","25025000701","=""25025000701""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000703","MA","25025000703","=""25025000703""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000704","MA","25025000704","=""25025000704""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000802","MA","25025000802","=""25025000802""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025000803","MA","25025000803","=""25025000803""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010103","MA","25025010103","=""25025010103""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010104","MA","25025010104","=""25025010104""","Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010203","MA","25025010203","=""25025010203""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010204","MA","25025010204","=""25025010204""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010300","MA","25025010300","=""25025010300""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010403","MA","25025010403","=""25025010403""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010404","MA","25025010404","=""25025010404""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010405","MA","25025010405","=""25025010405""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010408","MA","25025010408","=""25025010408""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010500","MA","25025010500","=""25025010500""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010600","MA","25025010600","=""25025010600""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010701","MA","25025010701","=""25025010701""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010702","MA","25025010702","=""25025010702""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
"Census Tract","25025010801","MA","25025010801","=""25025010801""","Not Low Income and Low Access","2019","2010","USDA","Boston (City, 2020)"
