"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Population Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","rpopden","TimeFrame","GeoVintage","Source","Location"
"Census Tract","25025000101","MA","25025000101","=""25025000101""","17264.96","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025000102","MA","25025000102","=""25025000102""","9761.27","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025000201","MA","25025000201","=""25025000201""","18723.82","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025000202","MA","25025000202","=""25025000202""","15941.07","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025000301","MA","25025000301","=""25025000301""","12319.21","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025000302","MA","25025000302","=""25025000302""","14166.43","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025000401","MA","25025000401","=""25025000401""","28252.80","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025000402","MA","25025000402","=""25025000402""","11788.27","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025000502","MA","25025000502","=""25025000502""","17800.18","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025000503","MA","25025000503","=""25025000503""","38161.16","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025000505","MA","25025000505","=""25025000505""","34297.19","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025000506","MA","25025000506","=""25025000506""","32863.98","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025000601","MA","25025000601","=""25025000601""","18930.78","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025000603","MA","25025000603","=""25025000603""","14612.27","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025000604","MA","25025000604","=""25025000604""","22240.07","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025000701","MA","25025000701","=""25025000701""","46205.03","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025000703","MA","25025000703","=""25025000703""","25084.76","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025000704","MA","25025000704","=""25025000704""","43670.81","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025000804","MA","25025000804","=""25025000804""","13802.57","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025000805","MA","25025000805","=""25025000805""","21868.06","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025000806","MA","25025000806","=""25025000806""","4154.05","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025000807","MA","25025000807","=""25025000807""","36635.07","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025010103","MA","25025010103","=""25025010103""","31706.79","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025010104","MA","25025010104","=""25025010104""","42865.81","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025010204","MA","25025010204","=""25025010204""","31663.29","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025010205","MA","25025010205","=""25025010205""","54556.53","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025010206","MA","25025010206","=""25025010206""","31330.37","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025010300","MA","25025010300","=""25025010300""","26037.36","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025010403","MA","25025010403","=""25025010403""","75458.45","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025010404","MA","25025010404","=""25025010404""","82537.22","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025010405","MA","25025010405","=""25025010405""","45228.06","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025010408","MA","25025010408","=""25025010408""","76422.47","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025010500","MA","25025010500","=""25025010500""","43433.40","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025010600","MA","25025010600","=""25025010600""","24552.04","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025010701","MA","25025010701","=""25025010701""","30179.10","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025010702","MA","25025010702","=""25025010702""","18662.80","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025010801","MA","25025010801","=""25025010801""","52509.76","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025010802","MA","25025010802","=""25025010802""","52352.56","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025020101","MA","25025020101","=""25025020101""","46126.96","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025020200","MA","25025020200","=""25025020200""","74711.82","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025020301","MA","25025020301","=""25025020301""","23644.09","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025020302","MA","25025020302","=""25025020302""","40510.00","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025020304","MA","25025020304","=""25025020304""","24300.97","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025020305","MA","25025020305","=""25025020305""","36644.02","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025030100","MA","25025030100","=""25025030100""","67173.43","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025030200","MA","25025030200","=""25025030200""","68859.75","2019-2023","2022","Census","Boston (City, 2020)"
