"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income %","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","lowmod_hh","TimeFrame","GeoVintage","Source","Location"
"Census Tract","25025000101","MA","25025000101","=""25025000101""","134.66","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025000102","MA","25025000102","=""25025000102""","70.23","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025000201","MA","25025000201","=""25025000201""","101.59","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025000202","MA","25025000202","=""25025000202""","78.79","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025000301","MA","25025000301","=""25025000301""","116.64","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025000302","MA","25025000302","=""25025000302""","103.83","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025000401","MA","25025000401","=""25025000401""","67.00","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025000402","MA","25025000402","=""25025000402""","99.31","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025000502","MA","25025000502","=""25025000502""","73.01","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025000503","MA","25025000503","=""25025000503""","82.29","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025000505","MA","25025000505","=""25025000505""","71.62","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025000506","MA","25025000506","=""25025000506""","65.26","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025000601","MA","25025000601","=""25025000601""","87.01","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025000603","MA","25025000603","=""25025000603""","29.54","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025000604","MA","25025000604","=""25025000604""","53.39","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025000701","MA","25025000701","=""25025000701""","82.97","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025000703","MA","25025000703","=""25025000703""","41.77","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025000704","MA","25025000704","=""25025000704""","70.03","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025000804","MA","25025000804","=""25025000804""","72.77","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025000805","MA","25025000805","=""25025000805""","47.85","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025000806","MA","25025000806","=""25025000806""","79.55","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025000807","MA","25025000807","=""25025000807""","N/A","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025010103","MA","25025010103","=""25025010103""","40.01","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025010104","MA","25025010104","=""25025010104""","78.78","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025010204","MA","25025010204","=""25025010204""","36.88","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025010205","MA","25025010205","=""25025010205""","59.90","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025010206","MA","25025010206","=""25025010206""","54.02","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025010300","MA","25025010300","=""25025010300""","63.12","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025010403","MA","25025010403","=""25025010403""","36.08","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025010404","MA","25025010404","=""25025010404""","26.47","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025010405","MA","25025010405","=""25025010405""","22.00","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025010408","MA","25025010408","=""25025010408""","67.26","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025010500","MA","25025010500","=""25025010500""","50.13","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025010600","MA","25025010600","=""25025010600""","104.39","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025010701","MA","25025010701","=""25025010701""","127.24","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025010702","MA","25025010702","=""25025010702""","146.44","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025010801","MA","25025010801","=""25025010801""","141.48","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025010802","MA","25025010802","=""25025010802""","160.30","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025020101","MA","25025020101","=""25025020101""","189.73","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025020200","MA","25025020200","=""25025020200""","109.12","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025020301","MA","25025020301","=""25025020301""","102.57","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025020302","MA","25025020302","=""25025020302""","147.52","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025020304","MA","25025020304","=""25025020304""","168.17","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025020305","MA","25025020305","=""25025020305""","127.43","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025030100","MA","25025030100","=""25025030100""","99.13","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025030200","MA","25025030200","=""25025030200""","99.73","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025030301","MA","25025030301","=""25025030301""","117.62","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025030302","MA","25025030302","=""25025030302""","129.93","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025030400","MA","25025030400","=""25025030400""","99.68","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025030500","MA","25025030500","=""25025030500""","123.74","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025040100","MA","25025040100","=""25025040100""","168.32","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025040200","MA","25025040200","=""25025040200""","122.68","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025040300","MA","25025040300","=""25025040300""","164.36","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025040401","MA","25025040401","=""25025040401""","138.61","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025040600","MA","25025040600","=""25025040600""","143.07","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025040801","MA","25025040801","=""25025040801""","89.62","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025050101","MA","25025050101","=""25025050101""","58.37","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025050200","MA","25025050200","=""25025050200""","86.65","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025050300","MA","25025050300","=""25025050300""","66.58","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025050400","MA","25025050400","=""25025050400""","67.84","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025050500","MA","25025050500","=""25025050500""","97.58","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025050600","MA","25025050600","=""25025050600""","66.41","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025050700","MA","25025050700","=""25025050700""","77.40","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025050901","MA","25025050901","=""25025050901""","98.85","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025051000","MA","25025051000","=""25025051000""","85.82","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025051101","MA","25025051101","=""25025051101""","71.12","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025051200","MA","25025051200","=""25025051200""","104.19","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025060101","MA","25025060101","=""25025060101""","148.69","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025060200","MA","25025060200","=""25025060200""","158.30","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025060301","MA","25025060301","=""25025060301""","163.02","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025060400","MA","25025060400","=""25025060400""","165.51","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025060501","MA","25025060501","=""25025060501""","144.40","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025060601","MA","25025060601","=""25025060601""","162.66","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025060602","MA","25025060602","=""25025060602""","104.26","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025060603","MA","25025060603","=""25025060603""","142.61","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025060604","MA","25025060604","=""25025060604""","194.68","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025060700","MA","25025060700","=""25025060700""","21.04","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025060800","MA","25025060800","=""25025060800""","152.86","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025061000","MA","25025061000","=""25025061000""","74.83","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025061101","MA","25025061101","=""25025061101""","21.62","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025061201","MA","25025061201","=""25025061201""","110.54","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
