"Store Name","Address","Address 2","City","State","Zip","County","Store Type","Incentive Program","Grantee Name","Point Source","Selected Location"
"store_name","address","address2","city","state","zip5","county","store_type","incentive_program","grantee_name","Source","Location"
"TRADER JOE'S BOSTON 500","500 Boylston St","","Boston","MA","02116","SUFFOLK","Supermarket","","","USDA","Boston (City, 2020)"
"TROPICAL FOODS INTERNATIONAL INC","450 Melnea Cass Blvd","","Roxbury","MA","02119","SUFFOLK","Super Store","","","USDA","Boston (City, 2020)"
"TRUONG THINH II MARKET","1305 Dorchester Ave","","Dorchester","MA","02122","SUFFOLK","Super Store","","","USDA","Boston (City, 2020)"
"Tandav Corporation","334 E 8th St","","South Boston","MA","02127","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Target Store 2822","1341 Boylston St","","Boston","MA","02215","SUFFOLK","Super Store","","","USDA","Boston (City, 2020)"
"Target Store T3363","500 Geneva Ave","","Dorchester","MA","02122","SUFFOLK","Super Store","","","USDA","Boston (City, 2020)"
"Target Store T3368","100 Cambridge St","Ste 2","Boston","MA","02114","SUFFOLK","Super Store","","","USDA","Boston (City, 2020)"
"Target T3223","4165 Washington St","","Roslindale","MA","02131","SUFFOLK","Super Store","","","USDA","Boston (City, 2020)"
"Tedeschi Food Shops 37495H","320 Neponset Ave","","Dorchester","MA","02122","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Tejeda Family Market","1435 Blue Hill Ave","","Mattapan","MA","02126","SUFFOLK","Grocery Store","","","USDA","Boston (City, 2020)"
"Tesoro Market And Deli Partnership","188 Chelsea St","","East Boston","MA","02128","SUFFOLK","Grocery Store","","","USDA","Boston (City, 2020)"
"The Corner Mini Market L.l.c.","515 Bennington St","","East Boston","MA","02128","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"The Daily Market 001","110 Savin Hill Ave","","Dorchester","MA","02125","SUFFOLK","Supermarket","","","USDA","Boston (City, 2020)"
"The Station Grocery","9 Maverick Sq","","Boston","MA","02128","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"The Wildduck Market Place","717 Boylston St","","Boston","MA","02116","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Three S Enterprise Inc","991 River St","","Hyde Park","MA","02136","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Tienda Y Taqueria San Antonio","257 Princeton St","","East Boston","MA","02128","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Tjs Family Inc/Family Food Shop","609 Walk Hill St","","Mattapan","MA","02126","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Tony's Market","4381 Washington St","","Roslindale","MA","02131","SUFFOLK","Specialty Store","","","USDA","Boston (City, 2020)"
"Top Asian Grocery","5 Knapp St","","Boston","MA","02111","SUFFOLK","Grocery Store","","","USDA","Boston (City, 2020)"
"Top Shelf","161 Charles St","","Boston","MA","02114","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Trader Joe's 510","899 Boylston St","","Boston","MA","02115","SUFFOLK","Supermarket","","","USDA","Boston (City, 2020)"
